image_1,image_2,distance
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote.jpg,0.834
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone13.jpg,0.754
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty.jpg,0.791
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks17.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe13.jpg,0.701
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddy2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey.jpg,0.734
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty13.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant19.jpg,0.745
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,0.85
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey20.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddy6.jpg,0.566
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks.jpg,0.821
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddy6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey20.jpg,0.566
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.821
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant19.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty13.jpg,0.745
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddy2.jpg,0.734
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone13.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle18.jpg,0.754
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant.jpg,0.791
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone.jpg,0.85
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe13.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks17.jpg,0.701
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car18.jpg,0.901
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball55.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup17.jpg,0.63
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tablet.jpg,0.821
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy100.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.917
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper8.jpg,0.901
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tablet.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.821
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup.jpg,0.66
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tablet2.jpg,0.637
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car.jpg,0.927
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book67.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy16.jpg,0.814
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup17.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball55.jpg,0.63
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,0.927
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tablet2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe14.jpg,0.637
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy100.jpg,0.917
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.66
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy16.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book67.jpg,0.814
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball54.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper6.jpg,0.722
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bed2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/table5.jpg,0.789
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy.jpg,0.857
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball54.jpg,0.722
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doll.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddy.jpg,0.7
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy15.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book65.jpg,0.856
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/table.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bed.jpg,0.676
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddy6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doll7.jpg,0.684
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,0.787
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doll7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddy6.jpg,0.684
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.787
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book65.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy15.jpg,0.856
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddy.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doll.jpg,0.7
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/table5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bed2.jpg,0.789
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.857
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bed.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/table.jpg,0.676
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball58.jpg,0.812
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fan5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper10.jpg,0.815
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,0.917
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball58.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone14.jpg,0.812
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water28.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys6.jpg,0.785
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fan.jpg,0.784
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baby22.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy23.jpg,0.799
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.911
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy23.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baby22.jpg,0.799
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone.jpg,0.911
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water28.jpg,0.785
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper10.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fan5.jpg,0.815
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,0.917
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fan.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,0.784
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/clock2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle20.jpg,0.737
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper11.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon16.jpg,0.772
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/caterpillar.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.809
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow.jpg,0.543
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle20.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/clock2.jpg,0.737
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/caterpillar.jpg,0.809
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,0.839
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/caterpillar4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book69.jpg,0.665
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/clock.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,0.817
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant21.jpg,0.786
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon16.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper11.jpg,0.772
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/clock.jpg,0.817
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book69.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/caterpillar4.jpg,0.665
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant.jpg,0.543
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,0.839
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow21.jpg,0.786
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddybear4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog22.jpg,0.68
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block8.jpg,0.826
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,0.767
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog22.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddybear4.jpg,0.68
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wagon.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk9.jpg,0.755
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe16.jpg,0.801
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,0.771
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk1.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wagon1.jpg,0.635
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddybear.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,0.708
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wagon1.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk1.jpg,0.635
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/teddybear.jpg,0.708
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe16.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys7.jpg,0.801
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk9.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/wagon.jpg,0.755
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair6.jpg,0.826
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.767
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block.jpg,0.771
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon17.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book71.jpg,0.843
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/door6.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,0.805
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes2.jpg,0.902
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book71.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon17.jpg,0.843
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair.jpg,0.805
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/door.jpg,0.741
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle22.jpg,0.665
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car19.jpg,0.789
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/door6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller6.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle22.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/chair14.jpg,0.665
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car.jpg,0.902
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/door.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller2.jpg,0.741
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car19.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes3.jpg,0.789
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baby23.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy24.jpg,0.692
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/socks2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball59.jpg,0.861
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks1.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diapey.jpg,0.848
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy24.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baby23.jpg,0.692
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.907
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diapey2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks19.jpg,0.794
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/socks.jpg,0.905
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book72.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car20.jpg,0.587
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car20.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book72.jpg,0.587
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks19.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diapey2.jpg,0.794
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/car.jpg,0.907
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball59.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/socks2.jpg,0.861
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diapey.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks1.jpg,0.848
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/socks.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball2.jpg,0.905
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tambourine3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book73.jpg,0.9
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/drum6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hammer6.jpg,0.783
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat2.jpg,0.774
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/maraca.jpg,0.848
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book73.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tambourine3.jpg,0.9
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci.jpg,0.774
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/drum.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hammer.jpg,0.831
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat16.jpg,0.879
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tambourine.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.915
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/maraca3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes4.jpg,0.907
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hammer6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/drum6.jpg,0.783
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tambourine.jpg,0.915
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat16.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci5.jpg,0.879
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/maraca.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes2.jpg,0.848
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hammer.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/drum.jpg,0.831
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/maraca3.jpg,0.907
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train20.jpg,0.777
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book75.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone15.jpg,0.864
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blanket.jpg,0.725
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train20.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush6.jpg,0.777
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey.jpg,0.73
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blanket2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle23.jpg,0.751
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.853
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty14.jpg,0.657
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train.jpg,0.856
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey21.jpg,0.657
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush.jpg,0.856
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle23.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blanket2.jpg,0.751
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty.jpg,0.73
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone15.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book75.jpg,0.864
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone8.jpg,0.853
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blanket.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,0.725
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/guitar8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/balloon6.jpg,0.726
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck24.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/waterbottle2.jpg,0.806
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes2.jpg,0.779
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fan.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/train.jpg,0.879
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/balloon6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/guitar8.jpg,0.726
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoes2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.779
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/waterbottle.jpg,0.815
