image_1,image_2,distance
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/vacuum.jpg,0.829
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bathtub.jpg,0.729
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/vacuum7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball57.jpg,0.683
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear.jpg,0.709
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/piano7.jpg,0.768
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bathtub3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper9.jpg,0.696
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy.jpg,0.709
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball57.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/vacuum7.jpg,0.683
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/piano.jpg,0.64
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bathtub.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,0.729
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/piano7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup18.jpg,0.768
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe9.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks15.jpg,0.796
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water25.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sock6.jpg,0.717
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.716
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,0.749
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks15.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe9.jpg,0.796
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat.jpg,0.716
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sock.jpg,0.715
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball51.jpg,0.746
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks2.jpg,NA
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey18.jpg,0.668
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sock6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water25.jpg,0.717
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe2.jpg,NA
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball51.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat5.jpg,0.746
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey.jpg,0.749
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sock.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,0.715
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog21.jpg,0.668
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball52.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair3.jpg,0.865
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck22.jpg,0.773
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kittycat3.jpg,0.544
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball52.jpg,0.865
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.843
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kittycat4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog21.jpg,0.573
