target,distractor,distance
bottle,blanket,0.789
train,brush,0.789
kitty,monkey,0.79
blanket,bottle,0.79
phone,book,0.791
monkey,kitty,0.791
brush,train,0.791
kitty,monkey,0.791
train,brush,0.791
bottle,blanket,0.791
monkey,kitty,0.791
phone,book,0.791
book,phone,0.792
blanket,bottle,0.792
guitar,balloon,0.794
truck,waterbottle,0.794
book,shoes,0.796
fan,train,0.796
balloon,guitar,0.799
shoes,book,0.799
truck,waterbottle,0.8
book,shoes,0.8
guitar,balloon,0.801
train,fan,0.801
waterbottle,truck,0.802
balloon,guitar,0.802
shoes,book,0.804
train,fan,0.804
waterbottle,truck,0.804
fan,train,0.805
ball,car,0.805
blueberries,milk,0.805
paci,book,0.805
car,ball,0.806
diaper,shoe,0.806
book,paci,0.806
milk,blueberries,0.806
shoe,diaper,0.809
ball,car,0.809
diaper,shoe,0.81
car,ball,0.81
paci,book,0.812
shoe,diaper,0.812
milk,blueberries,0.814
book,paci,0.814
blueberries,milk,0.815
cow,dog,0.815
sippycup,highchair,0.815
remote,ball,0.815
book,shoe,0.816
dog,cow,0.816
ball,remote,0.817
sippycup,highchair,0.817
remote,ball,0.817
cow,dog,0.817
shoe,book,0.818
highchair,sippycup,0.818
dog,cow,0.818
ball,remote,0.819
shoe,book,0.819
highchair,sippycup,0.82
book,shoe,0.82
book,keys,0.821
brush,water,0.821
dolly,puppy,0.821
keys,book,0.821
ducky,wubby,0.822
puppy,dolly,0.822
water,brush,0.822
wubby,ducky,0.822
book,keys,0.823
ducky,wubby,0.823
keys,book,0.823
dolly,puppy,0.823
wubby,ducky,0.823
water,brush,0.823
puppy,dolly,0.824
brush,water,0.824
cup,book,0.825
drum,train,0.825
chair,blocks,0.826
broom,plate,0.826
book,cup,0.829
blocks,chair,0.829
drum,train,0.829
chair,blocks,0.829
cup,book,0.831
plate,broom,0.831
train,drum,0.831
book,cup,0.831
blocks,chair,0.833
plate,broom,0.833
train,drum,0.834
broom,plate,0.834
ball,shoes,0.834
phone,milk,0.834
bird,kitty,0.834
shoes,ball,0.834
elephant,giraffe,0.834
kitty,bird,0.834
milk,phone,0.835
giraffe,elephant,0.835
ball,shoes,0.837
elephant,giraffe,0.837
shoes,ball,0.837
bird,kitty,0.837
giraffe,elephant,0.839
milk,phone,0.839
kitty,bird,0.84
phone,milk,0.84
crib,highchair,0.843
spoon,car,0.843
diaper,book,0.843
keys,milk,0.843
highchair,crib,0.843
book,diaper,0.843
spoon,car,0.844
diaper,book,0.844
crib,highchair,0.848
milk,keys,0.848
car,spoon,0.848
highchair,crib,0.848
book,diaper,0.848
milk,keys,0.848
